year,month,day,consumption
2018,3,12,154.96087708333334
2018,3,13,162.35203266666664
2018,3,14,151.8409735
2018,3,15,168.74480379166667
2018,3,16,165.14368991666666
2018,3,17,139.26681070833334
2018,3,18,133.6128065
2018,3,19,167.64988991666667
2018,3,20,174.71489454166667
2018,3,21,175.03034691666667
2018,3,22,165.30342583333334
2018,3,23,164.08240429166668
2018,3,24,150.60596320833335
2018,3,25,141.283530625
2018,3,26,170.25156512499998
2018,3,27,182.17038129166667
2018,3,28,173.3889547916667
2018,3,29,157.84565154166668
2018,3,30,122.74754645833333
2018,3,31,128.66003245833335
2018,4,1,127.64238166666667
2018,4,2,119.68918045833334
2018,4,3,102.29388983333332
2018,4,4,168.35341808333334
2018,4,5,168.60891645833334
2018,4,6,168.02160104166668
2018,4,7,145.50462708333333
2018,4,8,141.05921991666665
2018,4,9,168.74175895833335
2018,4,10,168.267434625
2018,4,11,166.28190279166668
2018,4,12,170.6112195652174
2018,4,13,190.289082
2018,4,14,151.51334675
2018,4,15,142.36618933333332
2018,4,16,180.97335741666666
2018,4,17,185.93129066666665
2018,4,18,185.26481216666664
2018,4,19,181.03610633333335
2018,4,20,181.25099820833336
2018,4,21,154.63155754166667
2018,4,22,122.948163625
2018,4,23,180.89857087500002
2018,4,24,176.09468037500002
2018,4,25,179.6095241666667
2018,4,26,175.18626270833332
2018,4,27,178.0038805
2018,4,28,163.35087441666667
2018,4,29,138.93410729166666
2018,4,30,167.21727733333333
2018,5,1,143.72596654166668
2018,5,2,175.22360154166665
2018,5,3,183.33736595833332
2018,5,4,188.1910997916667
2018,5,5,161.78586433333334
2018,5,6,155.63411254166667
2018,5,7,181.96150445833334
2018,5,8,184.5682905
2018,5,9,189.76986466666668
2018,5,10,182.18372691666664
2018,5,11,187.33593975
2018,5,12,163.17419437499998
2018,5,13,126.34621162500001
2018,5,14,191.65002712499998
2018,5,15,201.06132962499998
2018,5,16,199.08978275
2018,5,17,184.31563925
2018,5,18,190.02968825000002
2018,5,19,169.84300016666666
2018,5,20,154.96961762499998
2018,5,21,150.92955079166666
2018,5,22,185.74105866666665
2018,5,23,187.65470866666666
2018,5,24,186.70087237500002
2018,5,25,183.126431625
2018,5,26,156.20313241666668
2018,5,27,156.49906358333334
2018,5,28,198.10266004166667
2018,5,29,208.41772733333335
2018,5,30,210.04617525
2018,5,31,211.46881700000003
2018,6,1,222.36789975
2018,6,2,188.2434432916667
2018,6,3,176.56220162500003
2018,6,4,228.60829745833334
2018,6,5,232.61027962499998
2018,6,6,210.05193179166668
2018,6,7,201.5860631666667
2018,6,8,188.49128441666667
2018,6,9,176.49634004166668
2018,6,10,180.48729554166667
2018,6,11,222.29945941666665
2018,6,12,235.555316125
2018,6,13,232.33540654166666
2018,6,14,222.86355220833332
2018,6,15,210.37967304166668
2018,6,16,174.25775612500001
2018,6,17,149.57851445833333
2018,6,18,178.31490304166667
2018,6,19,189.56658254166666
2018,6,20,194.49313895833333
2018,6,21,202.867825625
2018,6,22,201.891077
2018,6,23,186.5454015
2018,6,24,171.63911366666665
2018,6,25,206.6467639583333
2018,6,26,207.51682420833333
2018,6,27,208.60643341666665
2018,6,28,226.94133983333333
2018,6,29,228.20968254166667
2018,6,30,220.362706875
2018,7,1,206.33087270833335
2018,7,2,211.77914816666666
2018,7,3,235.672618625
2018,7,4,248.46401054166665
2018,7,5,249.84202041666666
2018,7,6,234.38248633333333
2018,7,7,208.098451375
2018,7,8,193.659638375
2018,7,9,219.74397424999998
2018,7,10,242.69563829166668
2018,7,11,231.30996537500002
2018,7,12,226.10757558333333
2018,7,13,210.28830020833334
2018,7,14,180.08765766666667
2018,7,15,171.41257099999999
2018,7,16,191.8273118333333
2018,7,17,228.0926435
2018,7,18,227.88031045833335
2018,7,19,229.21804137499998
2018,7,20,230.06685333333334
2018,7,21,209.66507770833334
2018,7,22,196.19443108333334
2018,7,23,233.58453941666667
2018,7,24,223.24208595833332
2018,7,25,210.2388075
2018,7,26,209.05525004166668
2018,7,27,226.78100704166664
2018,7,28,180.946066375
2018,7,29,162.38522920833333
2018,7,30,223.18961883333336
2018,7,31,226.793485875
2018,8,1,231.91558562499998
2018,8,2,250.54964975
2018,8,3,238.43817054166666
2018,8,4,203.311883375
2018,8,5,191.22168679166668
2018,8,6,228.74415304166666
2018,8,7,212.01896245833333
